[1.225s][info][gc,marking  ] GC(5) Concurrent Cleanup for Next Mark
[1.227s][info][gc,marking  ] GC(5) Concurrent Cleanup for Next Mark 2.664ms
[1.228s][info][gc          ] GC(5) Concurrent Mark Cycle 43.005ms
[1.238s][info][gc,start    ] GC(6) Pause Young (Prepare Mixed) (G1 Evacuation Pause)
[1.238s][info][gc,task     ] GC(6) Using 6 workers of 8 for evacuation
[1.245s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.12ms
[1.245s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.07ms
[1.245s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 6.40ms
[1.245s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.49ms
[1.246s][info][gc,phases   ] GC(6)   Other: 0.09ms
[1.246s][info][gc,heap     ] GC(6) Eden regions: 1->0(1)
[1.246s][info][gc,heap     ] GC(6) Survivor regions: 1->1(1)
[1.246s][info][gc,heap     ] GC(6) Old regions: 3->4
[1.246s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[1.246s][info][gc,metaspace] GC(6) Metaspace: 21525K(22016K)->21525K(22016K) NonClass: 19426K(19712K)->19426K(19712K) Class: 2099K(2304K)->2099K(2304K)
[1.246s][info][gc          ] GC(6) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 55M->46M(144M) 7.906ms
[1.246s][info][gc,cpu      ] GC(6) User=0.03s Sys=0.01s Real=0.01s
[1.310s][info][gc,start    ] GC(7) Pause Young (Mixed) (G1 Evacuation Pause)
[1.310s][info][gc,task     ] GC(7) Using 6 workers of 8 for evacuation
[1.316s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.11ms
[1.316s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.07ms
[1.317s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 5.40ms
[1.317s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.41ms
[1.317s][info][gc,phases   ] GC(7)   Other: 0.12ms
[1.317s][info][gc,heap     ] GC(7) Eden regions: 1->0(1)
[1.317s][info][gc,heap     ] GC(7) Survivor regions: 1->1(1)
[1.317s][info][gc,heap     ] GC(7) Old regions: 4->3
[1.317s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[1.317s][info][gc,metaspace] GC(7) Metaspace: 21805K(22336K)->21805K(22336K) NonClass: 19683K(19968K)->19683K(19968K) Class: 2122K(2368K)->2122K(2368K)
[1.317s][info][gc          ] GC(7) Pause Young (Mixed) (G1 Evacuation Pause) 62M->52M(144M) 6.939ms
[1.317s][info][gc,cpu      ] GC(7) User=0.02s Sys=0.01s Real=0.00s
[1.512s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.512s][info][gc,task     ] GC(8) Using 6 workers of 8 for evacuation
[1.515s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.12ms
[1.516s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.05ms
[1.516s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 3.04ms
[1.516s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.48ms
[1.516s][info][gc,phases   ] GC(8)   Other: 0.10ms
[1.516s][info][gc,heap     ] GC(8) Eden regions: 1->0(6)
[1.516s][info][gc,heap     ] GC(8) Survivor regions: 1->1(1)
[1.516s][info][gc,heap     ] GC(8) Old regions: 3->3
[1.516s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[1.516s][info][gc,metaspace] GC(8) Metaspace: 23568K(24064K)->23568K(24064K) NonClass: 21286K(21568K)->21286K(21568K) Class: 2282K(2496K)->2282K(2496K)
[1.516s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 68M->56M(288M) 4.680ms
[1.516s][info][gc,cpu      ] GC(8) User=0.02s Sys=0.01s Real=0.00s
[1.712s][info][gc,start    ] GC(9) Pause Young (Concurrent Start) (Metadata GC Threshold)
[1.712s][info][gc,task     ] GC(9) Using 8 workers of 8 for evacuation
[1.721s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.13ms
[1.722s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.04ms
[1.722s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 7.98ms
[1.722s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 1.03ms
[1.722s][info][gc,phases   ] GC(9)   Other: 0.09ms
[1.722s][info][gc,heap     ] GC(9) Eden regions: 4->0(7)
[1.722s][info][gc,heap     ] GC(9) Survivor regions: 1->1(1)
[1.722s][info][gc,heap     ] GC(9) Old regions: 3->4
[1.722s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[1.722s][info][gc,metaspace] GC(9) Metaspace: 35858K(36480K)->35858K(36480K) NonClass: 32086K(32448K)->32086K(32448K) Class: 3772K(4032K)->3772K(4032K)
[1.722s][info][gc          ] GC(9) Pause Young (Concurrent Start) (Metadata GC Threshold) 111M->65M(288M) 9.868ms
[1.722s][info][gc,cpu      ] GC(9) User=0.03s Sys=0.02s Real=0.01s
[1.722s][info][gc          ] GC(10) Concurrent Mark Cycle
[1.722s][info][gc,marking  ] GC(10) Concurrent Scan Root Regions
[1.728s][info][gc,marking  ] GC(10) Concurrent Scan Root Regions 5.594ms
[1.728s][info][gc,marking  ] GC(10) Concurrent Mark
[1.728s][info][gc,marking  ] GC(10) Concurrent Mark From Roots
[1.728s][info][gc,task     ] GC(10) Using 2 workers of 2 for marking
[1.746s][info][gc,marking  ] GC(10) Concurrent Mark From Roots 17.843ms
[1.746s][info][gc,marking  ] GC(10) Concurrent Preclean
[1.746s][info][gc,marking  ] GC(10) Concurrent Preclean 0.167ms
[1.748s][info][gc,start    ] GC(10) Pause Remark
[1.750s][info][gc          ] GC(10) Pause Remark 71M->71M(272M) 1.744ms
[1.750s][info][gc,cpu      ] GC(10) User=0.01s Sys=0.01s Real=0.01s
[1.752s][info][gc,marking  ] GC(10) Concurrent Mark 23.832ms
[1.752s][info][gc,marking  ] GC(10) Concurrent Rebuild Remembered Sets and Scrub Regions
[1.759s][info][gc,marking  ] GC(10) Concurrent Rebuild Remembered Sets and Scrub Regions 7.118ms
[1.763s][info][gc,start    ] GC(10) Pause Cleanup
[1.763s][info][gc          ] GC(10) Pause Cleanup 74M->74M(272M) 0.114ms
[1.763s][info][gc,cpu      ] GC(10) User=0.00s Sys=0.00s Real=0.00s
[1.763s][info][gc,marking  ] GC(10) Concurrent Clear Claimed Marks
[1.764s][info][gc,marking  ] GC(10) Concurrent Clear Claimed Marks 0.160ms
[1.764s][info][gc,marking  ] GC(10) Concurrent Cleanup for Next Mark
[1.765s][info][gc,marking  ] GC(10) Concurrent Cleanup for Next Mark 1.166ms
[1.765s][info][gc          ] GC(10) Concurrent Mark Cycle 42.962ms
[2.183s][info][gc,start    ] GC(11) Pause Young (Prepare Mixed) (Metadata GC Threshold)
[2.183s][info][gc,task     ] GC(11) Using 8 workers of 8 for evacuation
[2.192s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.11ms
[2.193s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.07ms
[2.193s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 7.58ms
