# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.cache.totalCacheEvicted,1771926512692000000,1771926515279000000,0
Indexing.writesQueuedMax,1771926512692000000,1771926515279000000,0
Indexing.totalTimeIndexersSleptMs,1771926512692000000,1771926515279000000,0
Indexing.writesQueuedAvg,1771926512692000000,1771926515279000000,0.0
Indexing.cache.totalCacheAccesses,1771926512692000000,1771926515279000000,0
Indexing.writesQueuedMin,1771926512692000000,1771926515279000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1771926512692000000,1771926515279000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1771926512692000000,1771926515279000000,0
Indexing.cache.totalCacheMisses,1771926512692000000,1771926515279000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1771926512692000000,1771926515279000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1771926512692000000,1771926515279000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1771926512692000000,1771926515279000000,167589
FilePageCache.pageFastCacheHits,1771926512692000000,1771926515279000000,17236
DirectByteBufferAllocator.disposed,1771926512692000000,1771926515279000000,205
FilePageCache.uncachedFileAccess,1771926512692000000,1771926515279000000,355
DirectByteBufferAllocator.reclaimed,1771926512692000000,1771926515279000000,43
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771926512692000000,1771926515279000000,41943040
StorageLockContext.competingThreads.max,1771926512692000000,1771926515279000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771926512692000000,1771926515279000000,41943040
FilePageCache.totalPageDisposalsUs,1771926512692000000,1771926515279000000,1550
MappedFileStorage.totalPagesMapped,1771926512692000000,1771926515279000000,0
FilePageCache.capacityInBytes,1771926512692000000,1771926515279000000,629145600
MappedFileStorage.totalBytesMapped,1771926512692000000,1771926515279000000,0
FilePageCache.totalPageLoadsUs,1771926512692000000,1771926515279000000,185486
FilePageCache.maxRegisteredFiles,1771926512692000000,1771926515279000000,674
DirectByteBufferAllocator.hits,1771926512692000000,1771926515279000000,3
FilePageCache.pageHits,1771926512692000000,1771926515279000000,0
MappedFileStorage.storages,1771926512692000000,1771926515279000000,0
StorageLockContext.competingThreads.avg,1771926512692000000,1771926515279000000,0.0
FilePageCache.maxCacheSizeInBytes,1771926512692000000,1771926515279000000,256901120
FileChannelInterruptsRetryer.totalRetriedAttempts,1771926512692000000,1771926515279000000,0
DirectByteBufferAllocator.misses,1771926512692000000,1771926515279000000,245
FilePageCache.pageLoadsAboveSizeThreshold,1771926512692000000,1771926515279000000,0
StorageLockContext.competingThreads.90P,1771926512692000000,1771926515279000000,0
FilePageCache.pageLoads,1771926512692000000,1771926515279000000,248
FilePageCache.disposedBuffers,1771926512692000000,1771926515279000000,248
AWTEventQueue.dispatchTimeAvgNs,1771926512692000000,1771926515279000000,0.0
FlushQueue.queueSizeMax,1771926512692000000,1771926515279000000,0
FlushQueue.waitingTime90PNs,1771926512692000000,1771926515279000000,0
AWTEventQueue.dispatchTimeMaxNs,1771926512692000000,1771926515279000000,0
AWTEventQueue.eventsDispatched,1771926512692000000,1771926515279000000,0
FlushQueue.executionTimeMaxNs,1771926512692000000,1771926515279000000,0
ReadAction.executionsCount,1771926512692000000,1771926515279000000,1
FlushQueue.waitingTimeMaxNs,1771926512692000000,1771926515279000000,0
FlushQueue.waitingTimeAvgNs,1771926512692000000,1771926515279000000,0.0
FlushQueue.executionTime90PNs,1771926512692000000,1771926515279000000,0
AWTEventQueue.dispatchTimeTotalNS,1771926512692000000,1771926515279000000,1849500
WriteAction.executionsCount,1771926512692000000,1771926515279000000,0
FlushQueue.executionTimeAvgNs,1771926512692000000,1771926515279000000,0.0
AWTEventQueue.dispatchTime90PNs,1771926512692000000,1771926515279000000,0
FlushQueue.queueSize90P,1771926512692000000,1771926515279000000,0
FlushQueue.tasksExecuted,1771926512692000000,1771926515279000000,0
FlushQueue.queueSizeAvg,1771926512692000000,1771926515279000000,0.0
cacheStateStorage.get.duration,1771926512692000000,1771926515279000000,0
cacheStateStorage.set.counter,1771926512692000000,1771926515279000000,0
cacheStateStorage.get.counter,1771926512692000000,1771926515279000000,1
cacheStateStorage.set.duration,1771926512692000000,1771926515279000000,0
VFS.folderCaseSensitivityReads,1771926512692000000,1771926515279000000,0
VFS.fileChildByName,1771926512692000000,1771926515279000000,0
VFS.fileByIdCache.hits,1771926512692000000,1771926515279000000,0
VFS.rootsCount,1771926512692000000,1771926515279000000,0.0
VFS.invertedFileNameIndex.requests,1771926512692000000,1771926515279000000,0
VFS.fileByIdCache.misses,1771926512692000000,1771926515279000000,0
DiskQueryRelay.tasksRequested,1771926512692000000,1771926515279000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1771926512692000000,1771926515279000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1771926512692000000,1771926515279000000,0
DiskQueryRelay.tasksExecuted,1771926512692000000,1771926515279000000,0
