# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeAtSafepointsMs,1772700919104000000,1772700979217000000,958
OS.loadAverage,1772700919104000000,1772700979217000000,3.453125
JVM.maxThreadCount,1772700919104000000,1772700979217000000,205
JVM.GC.collectionTimesMs,1772700919104000000,1772700979217000000,662
JVM.totalSafepointCount,1772700919104000000,1772700979217000000,493
JVM.usedHeapBytes,1772700919104000000,1772700979217000000,1031719192
JVM.totalTimeToSafepointsMs,1772700919104000000,1772700979217000000,431
JVM.totalDirectByteBuffersBytes,1772700919104000000,1772700979217000000,658009602
JVM.GC.collections,1772700919104000000,1772700979217000000,60
MEM.fileMappingsRamBytes,1772700919104000000,1772700979217000000,708603904
JVM.committedHeapBytes,1772700919104000000,1772700979217000000,1560281088
MEM.ramBytes,1772700919104000000,1772700979217000000,3655815168
JVM.totalCpuTimeMs,1772700919104000000,1772700979217000000,119430
JVM.threadCount,1772700919104000000,1772700979217000000,164
JVM.totalBytesAllocated,1772700919104000000,1772700979217000000,12618851088
JVM.maxHeapBytes,1772700919104000000,1772700979217000000,28840034304
JVM.newThreadsCount,1772700919104000000,1772700979217000000,412
MEM.ramMinusFileMappingsBytes,1772700919104000000,1772700979217000000,2947211264
MEM.ramPlusSwapMinusFileMappingsBytes,1772700919104000000,1772700979217000000,2947211264
JVM.usedNativeBytes,1772700919104000000,1772700979217000000,458710616
cacheStateStorage.set.counter,1772700919104000000,1772700979217000000,3
cacheStateStorage.get.counter,1772700919104000000,1772700979217000000,18
cacheStateStorage.set.duration,1772700919104000000,1772700979217000000,39
cacheStateStorage.get.duration,1772700919104000000,1772700979217000000,0
VFS.folderCaseSensitivityReads,1772700919104000000,1772700979217000000,426
FileNameCache.totalMisses,1772700919104000000,1772700979217000000,27904
VFS.contentStorage.recordsReadDecompressed,1772700919104000000,1772700979217000000,13
VFS.rootsCount,1772700919104000000,1772700979217000000,210.0
VFS.cache.directoriesCreated,1772700919104000000,1772700979217000000,4691
VFS.contentStorage.recordsStoredSize,1772700919104000000,1772700979217000000,288454
VFS.cache.filesCreated,1772700919104000000,1772700979217000000,149718
VFS.contentStorage.recordsStored,1772700919104000000,1772700979217000000,48
VFS.fileByIdCache.misses,1772700919104000000,1772700979217000000,57
VFS.contentStorage.recordsStoredCompressed,1772700919104000000,1772700979217000000,8
VFS.fileChildByName,1772700919104000000,1772700979217000000,19335
VFS.contentStorage.recordsReadSize,1772700919104000000,1772700979217000000,1004104
VFS.contentStorage.recordsRead,1772700919104000000,1772700979217000000,35
VFS.cache.segmentsCreated,1772700919104000000,1772700979217000000,171
VFS.invertedFileNameIndex.requests,1772700919104000000,1772700979217000000,12
VFS.contentStorage.recordsDecompressionTimeUs,1772700919104000000,1772700979217000000,22364
FileNameCache.queries,1772700919104000000,1772700979217000000,4718976
VFS.cache.segments,1772700919104000000,1772700979217000000,169.0
VFS.fileByIdCache.hits,1772700919104000000,1772700979217000000,1
VFS.contentStorage.recordsUncompressedSize,1772700919104000000,1772700979217000000,574292
VFS.contentStorage.recordsDeduplicated,1772700919104000000,1772700979217000000,20
DirectByteBufferAllocator.reclaimed,1772700919104000000,1772700979217000000,518
StreamlinedBlobStorage.recordsAllocated,1772700919104000000,1772700979217000000,69108
FilePageCache.disposedBuffers,1772700919104000000,1772700979217000000,518
FileChannelInterruptsRetryer.totalRetriedAttempts,1772700919104000000,1772700979217000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772700919104000000,1772700979217000000,1048576
