# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.loading.total.ms,1772463287882000000,1772463348020000000,2
workspaceModel.cachedValueWithParameters.clear.count,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772463287882000000,1772463348020000000,0
workspaceModel.updates.ms,1772463287882000000,1772463348020000000,195
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772463287882000000,1772463348020000000,36
workspaceModel.cachedValue.clear.count,1772463287882000000,1772463348020000000,2
workspaceModel.on.before.changed.ms,1772463287882000000,1772463348020000000,65
workspaceModel.update.unloaded.entities.ms,1772463287882000000,1772463348020000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772463287882000000,1772463348020000000,62
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772463287882000000,1772463348020000000,0
workspaceModel.initializing.ms,1772463287882000000,1772463348020000000,24
workspaceModel.cachedValue.from.cache.count,1772463287882000000,1772463348020000000,13699
workspaceModel.check.recursive.update.ms,1772463287882000000,1772463348020000000,2
workspaceModel.init.bridges.ms,1772463287882000000,1772463348020000000,27
workspaceModel.workspaceFileIndexData.instances.count,1772463287882000000,1772463348020000000,1
workspaceModel.collect.changes.ms,1772463287882000000,1772463348020000000,0
workspaceModel.updates.precise.ms,1772463287882000000,1772463348020000000,27
workspaceModel.on.changed.ms,1772463287882000000,1772463348020000000,131
workspaceModel.cachedValue.total.get.count,1772463287882000000,1772463348020000000,13852
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772463287882000000,1772463348020000000,90
workspaceModel.full.replace.project.model.ms,1772463287882000000,1772463348020000000,58
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772463287882000000,1772463348020000000,568
workspaceModel.replace.project.model.ms,1772463287882000000,1772463348020000000,45
workspaceModel.cachedValue.calculated.count,1772463287882000000,1772463348020000000,153
workspaceModel.pre.handlers.ms,1772463287882000000,1772463348020000000,2
workspaceModel.to.snapshot.ms,1772463287882000000,1772463348020000000,2
workspaceModel.updates.count,1772463287882000000,1772463348020000000,17
workspaceModel.cachedValueWithParameters.total.get.count,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772463287882000000,1772463348020000000,32
workspaceModel.loading.from.cache.ms,1772463287882000000,1772463348020000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772463287882000000,1772463348020000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772463287882000000,1772463348020000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772463287882000000,1772463348020000000,3
workspaceModel.mutableEntityStorage.instances.count,1772463287882000000,1772463348020000000,86
jps.global.initialize.library.bridges.after.loading.ms,1772463287882000000,1772463348020000000,1
